id;score_channel;is_show_channel;channel_id;category_id;comment
5007;750;true;4581;1050;comment
5008;760;true;4582;1050;comment
5009;770;true;4583;1050;comment
5010;780;true;4585;1050;comment
5011;790;true;4586;1050;comment
5012;800;true;4587;1050;comment
5013;810;true;4588;1050;comment
5014;820;true;4589;1050;comment
5015;830;true;4590;1050;comment
5016;840;true;4591;1050;comment
5017;850;true;4592;1050;comment
5018;860;true;4593;1050;comment
5019;870;true;4594;1050;comment
5020;880;true;4595;1050;comment
5021;890;true;4596;1050;comment
5022;900;true;4597;1050;comment
5023;910;true;4598;1050;comment
5024;920;true;4599;1050;comment
5025;930;true;4600;1050;comment
5026;940;true;4601;1050;comment
5027;950;true;4602;1050;comment
5028;960;true;4603;1050;comment
5029;970;true;4604;1050;comment
5030;980;true;4605;1050;comment
5031;990;true;4606;1050;comment
5032;1000;true;4607;1050;comment
5033;1010;true;4608;1050;comment
5034;1020;true;4609;1050;comment
5035;1030;true;4610;1050;comment
5036;1040;true;4611;1050;comment
5037;1050;true;4612;1050;comment
5038;1060;true;4613;1050;comment
5039;1070;true;4614;1050;comment
5040;1080;true;4615;1050;comment
5041;1090;true;4616;1050;comment
